"","GAME_ID","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"2420","ARI201610020",20161002,"SDN",2,33,7,4,0,0,2,1,0,0,0,0,9,0,0,0,0,5,3,3,3,0,0,26,8,0,0,1,0
"9","ATL201604040",20160404,"WAS",4,37,8,1,0,2,4,0,1,0,5,0,11,1,1,1,0,9,6,3,3,0,0,30,7,0,0,2,0
"32","ATL201604060",20160406,"WAS",3,34,8,2,0,0,3,0,0,0,2,1,6,0,0,0,0,6,4,1,1,0,0,27,13,0,0,1,0
"54","ATL201604080",20160408,"SLN",7,36,11,2,0,4,6,0,0,1,2,0,9,0,0,0,0,5,4,4,4,1,0,27,10,2,0,1,0
"67","ATL201604090",20160409,"SLN",12,42,14,2,1,0,9,0,2,0,9,1,9,1,0,1,0,14,3,2,2,1,0,27,8,3,0,2,0
"79","ATL201604100",20160410,"SLN",12,36,10,2,0,2,12,1,0,3,9,1,10,2,0,0,0,10,6,6,6,0,0,27,7,1,0,1,0
"196","ATL201604190",20160419,"LAN",1,30,5,0,0,0,1,1,0,0,4,0,7,0,0,1,0,7,6,4,4,1,0,24,15,3,1,2,0
"210","ATL201604200",20160420,"LAN",5,38,10,2,0,1,5,0,0,0,5,1,9,2,2,0,0,8,7,2,2,0,0,30,15,1,0,0,0
"225","ATL201604210",20160421,"LAN",2,40,9,2,0,0,2,0,0,0,5,1,10,1,0,1,0,13,3,1,1,0,0,30,13,1,1,1,0
"239","ATL201604220",20160422,"NYN",6,36,10,2,0,2,6,0,0,0,3,0,4,0,0,1,0,6,6,3,3,0,0,27,7,1,0,0,0
