"","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"145",20130412,"PHI",3,38,10,4,1,0,3,2,0,0,2,2,4,0,1,0,0,9,5,1,1,0,0,30,13,0,0,2,0
"146",20130412,"CIN",5,35,8,1,0,2,5,0,0,0,5,0,12,0,0,0,0,8,4,6,6,0,0,24,13,0,1,2,0
"147",20130412,"COL",7,36,9,2,0,3,7,0,0,0,5,0,12,1,1,0,0,7,4,5,5,0,0,27,14,0,0,0,0
"148",20130412,"MIL",0,29,2,0,0,0,0,0,0,1,1,0,10,1,0,0,0,4,2,2,2,0,0,24,13,0,0,1,0
"149",20130412,"ATL",6,37,9,1,0,2,5,1,0,0,7,0,8,0,0,1,0,9,5,4,4,0,0,30,11,2,0,1,0
"150",20130413,"HOU",4,30,4,1,0,1,4,1,0,0,3,0,5,0,0,0,0,3,4,4,4,0,0,26,16,1,1,3,0
"151",20130413,"TBA",1,35,6,2,0,0,1,0,0,0,3,0,7,1,0,1,0,7,6,1,1,1,0,28,5,1,0,0,0
"152",20130413,"CHA",4,35,7,2,0,1,3,0,0,1,0,0,7,0,0,0,0,5,4,9,9,0,0,24,9,0,0,0,0
"153",20130413,"TOR",3,27,2,1,0,1,3,0,1,0,3,0,6,0,0,1,0,1,5,2,2,0,0,27,5,0,1,1,0
"154",20130413,"NYN",4,36,10,2,0,1,4,0,0,0,1,0,5,0,0,0,0,6,2,2,2,0,0,27,6,0,0,1,0
"155",20130413,"BAL",5,34,11,3,0,3,5,1,0,1,2,0,7,0,0,1,0,6,4,2,2,0,0,27,12,1,0,1,0
"156",20130413,"DET",7,35,10,2,0,3,7,1,0,0,4,0,4,0,0,1,0,6,4,3,3,0,0,27,7,0,0,0,0
"157",20130413,"TEX",3,30,5,0,0,0,2,1,0,0,3,1,4,1,0,2,0,4,4,1,1,0,0,27,8,0,0,0,0
"158",20130413,"LAN",7,39,14,5,0,1,7,0,0,0,5,1,9,0,0,1,0,10,4,5,5,1,0,27,8,0,0,1,0
"159",20130413,"SFN",3,33,9,1,0,0,3,1,0,1,2,0,7,0,0,1,0,7,3,2,2,0,0,27,10,1,0,3,0
"160",20130413,"PHI",1,32,5,1,0,0,0,0,0,0,4,0,8,0,0,0,0,8,4,1,1,0,0,25,7,1,0,1,0
"161",20130413,"CIN",1,32,7,2,0,1,1,0,0,1,7,1,3,0,1,1,0,12,3,3,3,0,0,24,10,0,0,1,0
"162",20130413,"COL",9,40,14,3,0,2,9,0,1,0,6,1,7,3,0,2,0,11,4,5,5,0,0,27,11,0,0,1,0
"163",20130413,"MIL",0,31,4,2,0,0,0,0,0,0,0,0,12,0,0,0,0,4,5,5,5,1,0,24,8,1,0,1,0
"164",20130413,"ATL",3,35,8,0,0,1,3,0,0,1,3,0,8,2,0,0,0,9,3,1,1,0,0,27,14,1,0,2,0
"165",20130414,"HOU",1,33,7,2,0,0,1,0,0,0,5,0,8,0,0,0,0,10,2,4,4,0,0,24,15,0,0,0,0
"166",20130414,"TBA",0,28,3,1,0,0,0,0,0,0,4,0,12,2,0,2,0,5,2,4,4,0,0,24,10,1,0,0,0
"167",20130414,"CHA",3,34,8,1,0,2,3,0,0,0,1,0,8,0,1,1,0,5,3,1,1,0,0,27,5,0,0,0,0
"168",20130414,"TOR",2,32,7,0,0,1,2,0,0,0,3,0,5,2,0,2,0,6,4,3,3,1,0,25,5,0,0,0,0
"169",20130414,"BAL",0,32,5,0,0,0,0,0,0,0,0,0,5,0,0,2,0,5,2,3,3,0,0,24,3,0,0,1,0
"170",20130414,"DET",10,42,14,4,1,1,10,0,0,1,5,1,3,0,0,0,0,11,2,1,1,0,0,27,6,0,1,0,0
"171",20130414,"TEX",3,32,6,2,1,0,2,1,0,1,3,0,8,1,0,0,0,7,3,4,4,0,0,24,11,1,0,0,0
"172",20130414,"LAN",0,30,6,1,0,0,0,1,0,0,1,0,5,0,1,1,0,5,1,1,1,0,0,25,10,0,0,0,0
"173",20130414,"SFN",10,42,13,3,0,1,7,0,0,1,5,0,12,2,0,1,0,8,7,7,7,0,0,30,15,0,0,2,0
"174",20130414,"PHI",2,35,12,2,0,1,2,0,0,1,3,1,5,1,1,3,0,10,2,1,1,0,0,27,11,0,0,1,0
"175",20130414,"CIN",7,36,11,2,0,1,6,0,0,1,5,0,8,3,0,1,0,8,5,10,10,1,0,24,9,0,0,0,0
"176",20130414,"COL",2,29,3,0,0,1,2,1,0,0,6,0,6,0,0,0,0,7,4,1,1,0,0,27,10,0,0,0,0
"177",20130414,"MIL",4,40,12,2,0,2,4,1,0,0,2,0,7,0,0,3,0,9,6,3,3,0,0,30,11,1,0,1,0
